date,price,total_volume,market_cap,coin_name,year,month,day,day_of_week,week_of_year,quarter,price_ma_7d,total_volume_ma_7d,market_cap_ma_7d,price_ma_30d,total_volume_ma_30d,market_cap_ma_30d,price_lag_1,price_lag_2,price_lag_3,price_rolling_mean_7,price_rolling_mean_30
2018-01-29 00:00:00.000,11157.6638878978,2345235501.178288,187828526722.43542,bitcoin,2018,1,29,0,5,1,11245.836127644501,3443580869.4599237,189247418740.054,13686.179653426378,4453321105.405442,229951660990.41272,11665.6969300847,11456.2135062799,11044.9072365744,11245.836127644501,13686.179653426378
2018-01-30 00:05:18.718,11095.2106891266,2321424679.531806,186776632503.01825,bitcoin,2018,1,30,1,5,1,11274.580382471086,3092440593.605962,189749741139.3763,13561.366983549984,4433328499.051505,227880028651.8236,11157.6638878978,11665.6969300847,11456.2135062799,11274.580382471086,13561.366983549984
2018-01-31 00:00:00.000,9989.68977659669,3804947187.2286944,168188285150.7701,bitcoin,2018,1,31,2,5,1,11090.662354777913,3124241863.7894278,186672272827.95596,13424.569748418959,4481977449.508613,225604960224.4549,11095.2106891266,11157.6638878978,11665.6969300847,11090.662354777913,13424.569748418959
2018-02-01 00:00:00.000,10114.495086226,3225562144.838607,170304196700.15707,bitcoin,2018,2,1,3,5,1,10931.982444683726,3127251285.4374614,184018518690.1174,13250.988489567686,4451822257.529567,222712446205.6321,9989.68977659669,11095.2106891266,11157.6638878978,10931.982444683726,13250.988489567686
2018-02-02 00:00:00.000,9070.55544937356,4769515274.345698,152744180864.1639,bitcoin,2018,2,2,4,5,1,10649.932189369321,3149126458.442504,179286666672.40768,13033.877486621495,4500460912.5035715,219087079278.57565,10114.495086226,9989.68977659669,11095.2106891266,10649.932189369321,13033.877486621495
2018-02-03 00:00:00.000,8830.16351005472,6813550017.173829,148715185541.37634,bitcoin,2018,2,3,5,5,1,10274.782189908581,3709017306.413708,172988091855.84515,12795.67076381752,4586999673.491843,215106760836.1216,9070.55544937356,10114.495086226,9989.68977659669,10274.782189908581,12795.67076381752
2018-02-04 00:00:00.000,8994.91486607664,3422042094.7330213,151507305722.97018,bitcoin,2018,2,4,6,5,1,9893.241895050287,3814610985.5757065,166580616172.12735,12484.27049334777,4491878156.784933,209897870637.27557,8830.16351005472,9070.55544937356,10114.495086226,9893.241895050287,12484.27049334777
2018-02-05 00:00:00.000,8315.51749143615,3337096341.0061126,140081544557.2351,bitcoin,2018,2,5,0,6,1,9487.220981270051,3956305391.265395,159759618719.95584,12149.998993282072,4461750707.134627,204303051770.19916,8994.91486607664,8830.16351005472,9070.55544937356,9487.220981270051,12149.998993282072
2018-02-06 00:00:00.000,6852.05270051491,5313588642.981379,115444836533.44772,bitcoin,2018,2,6,1,6,1,8881.055554325523,4383757386.043906,149569362152.87433,11810.404952837609,4537370687.007457,198615408731.9428,8315.51749143615,8994.91486607664,8830.16351005472,8881.055554325523,11810.404952837609
2018-02-07 00:00:00.000,7711.2203289411,9152685412.95559,129936854004.4166,bitcoin,2018,2,7,2,6,1,8555.559918946154,5147719989.719177,144104871989.10956,11537.433463082292,4650694164.454752,194047428151.33798,6852.05270051491,8315.51749143615,8994.91486607664,8555.559918946154,11537.433463082292
